"","semestre","curso","nombre_curso","n","mean_a","mean_b","mean_c","mean_d","mean_e","mean_f","mean_g","mean_h","mean_i","mean_j","mean_k","mean_nota_final"
"1",201610,"IIND1000","Introducción",127,NA,NA,NA,NA,NA,NA,4.23,NA,NA,3.89,NA,4.2755905511811
"2",201610,"IIND2103","Optimización",181,NA,NA,2.98710865556906,NA,3.53833859514365,NA,NA,NA,NA,NA,3.87735957640884,3.38955801104972
"3",201610,"IIND2104","Modelos Probabilísticos",222,2.85432076813514,NA,NA,NA,3.83949703325676,NA,NA,NA,NA,NA,NA,3.51225225225225
"4",201610,"IIND2107","Probabilidad II",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",201610,"IIND2201","Control de Producción",174,3.95581896551724,4.13193965517241,NA,NA,NA,NA,NA,NA,NA,NA,4.37183908045977,3.50219680943678
"6",201610,"IIND2202","Fundamentos de Producción",245,3.33617857142857,4.12527194557143,NA,NA,NA,NA,4.06716326530612,NA,NA,NA,NA,3.51028624055918
"7",201610,"IIND2301","Dinámica de Sistemas",1,3.58,3.2,3.22,NA,NA,NA,3.67,3.73,NA,3.68,3.53,3
"8",201610,"IIND2302","Pensamiento Sistémico",1,NA,NA,4.3,4.6,4.44,NA,4.33,3.24,NA,NA,NA,3
"9",201610,"IIND2401","Adec",567,3.39691034686596,NA,NA,NA,NA,NA,NA,NA,3.32959262198765,NA,3.33594832451499,NA
"10",201610,"IIND3311","Estrategia Organizaciol",1,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,3
"11",201610,"IIND3400","Finzas",215,3.83953488366512,3.69091569767442,NA,NA,NA,NA,4.58516279069767,NA,3.98795865633954,NA,NA,NA
"12",201620,"IIND1000","Introducción",156,NA,NA,NA,NA,NA,NA,3.83,NA,NA,3.97,NA,4.25597889957051
"13",201620,"IIND2103","Optimización",185,NA,NA,4.03629729727568,NA,4.30515444018378,NA,NA,NA,NA,NA,4.00351351350811,3.32605405405405
"14",201620,"IIND2104","Modelos Probabilísticos",195,2.75624939268718,3.75466666666667,NA,NA,3.42382051282051,NA,NA,NA,NA,NA,3.14083137975385,NA
"15",201620,"IIND2106","Probabilidad I",588,4.08,3.32,NA,NA,NA,NA,NA,NA,NA,NA,3.22,3.48855904528231
"16",201620,"IIND2107","Probabilidad II",196,3.67650510204082,3.08196428567857,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22724489795918
"17",201620,"IIND2201","Control de Producción",155,3.70375,4.11316129032258,NA,NA,NA,NA,NA,NA,NA,NA,4.221,3.68091763995484
"18",201620,"IIND2202","Fundamentos de Producción",264,3.16743686871591,3.28323863636364,NA,NA,NA,NA,3.85768939393939,NA,NA,NA,NA,3.44944551086364
"19",201620,"IIND2301","Dinámica de Sistemas",1,3.52,3.372,3.481,NA,NA,NA,3.243,3.843,NA,3.243,3.64,3
"20",201620,"IIND2302","Pensamiento Sistémico",1,NA,NA,3.625,4.075,3.15,NA,3.85,3.9125,NA,NA,NA,3
"21",201620,"IIND2400","Sisconger",138,3.51305442744203,3.06633221852899,NA,4.27992753623188,NA,NA,4.08485024155072,NA,4.19658080631159,NA,NA,3.58008200482609
